id,account,total_appraised_value_2019,pct_value_change,new_owner_date,sq_ft,acreage,latitude,longitude,zip_code,neighborhood_code,neighborhood,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
39,90720010001,283523,91.35496673,2018-08-28,1330,0.0574,29.75686,-95.37933,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
39,90720010001,283523,91.35496673,2018-08-28,1330,0.0574,29.75686,-95.37933,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
39,90720010001,283523,91.35496673,2018-08-28,1330,0.0574,29.75686,-95.37933,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
40,90720010002,277000,4.002793432,2015-11-09,1330,0.0574,29.75687,-95.37925,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
40,90720010002,277000,4.002793432,2015-11-09,1330,0.0574,29.75687,-95.37925,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
40,90720010002,277000,4.002793432,2015-11-09,1330,0.0574,29.75687,-95.37925,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
41,90720010003,257681,9.99974387,2009-08-21,1360,0.0581,29.75659,-95.37949,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
41,90720010003,257681,9.99974387,2009-08-21,1360,0.0581,29.75659,-95.37949,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
41,90720010003,257681,9.99974387,2009-08-21,1360,0.0581,29.75659,-95.37949,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
43,90720010005,167205,9.999671063,2003-01-01,1296,0.0581,29.75659,-95.37902,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
43,90720010005,167205,9.999671063,2003-01-01,1296,0.0581,29.75659,-95.37902,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
43,90720010005,167205,9.999671063,2003-01-01,1296,0.0581,29.75659,-95.37902,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
44,90720010006,265681,9.999627374,2011-12-28,1360,0.0581,29.75659,-95.37894,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
44,90720010006,265681,9.999627374,2011-12-28,1360,0.0581,29.75659,-95.37894,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
44,90720010006,265681,9.999627374,2011-12-28,1360,0.0581,29.75659,-95.37894,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
45,90720010007,273000,5.813953488,2018-06-08,1296,0.0581,29.75659,-95.37886,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
45,90720010007,273000,5.813953488,2018-06-08,1296,0.0581,29.75659,-95.37886,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
45,90720010007,273000,5.813953488,2018-06-08,1296,0.0581,29.75659,-95.37886,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
46,90720010008,265884,-2.265776628,2015-12-18,1360,0.0581,29.75659,-95.37878,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
46,90720010008,265884,-2.265776628,2015-12-18,1360,0.0581,29.75659,-95.37878,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
46,90720010008,265884,-2.265776628,2015-12-18,1360,0.0581,29.75659,-95.37878,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
48,90730030001,176357,9.999688133,2003-01-01,1360,0.0567,29.75624,-95.37902,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
48,90730030001,176357,9.999688133,2003-01-01,1360,0.0567,29.75624,-95.37902,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
48,90730030001,176357,9.999688133,2003-01-01,1360,0.0567,29.75624,-95.37902,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
49,90730030002,179280,9.999877287,2019-10-10,1360,0.0567,29.75624,-95.37894,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
